,best_score,ram,price_dollars,price_cop,price_cop_after_tax,ratio_pf_price,imgs_s
NVIDIA 1060 | 6GB,1.2183206106870228,6GB,200,817400,972706.0,6.1000000000000005,20.52
AMD 6650 XT | 8GB,4.094444444444445,8GB,226,923662,1099157.78,18.1,6.11
NVIDIA 3050 | 8GB,5.156444444444444,8GB,255,1042185,1240200.15,20.2,4.85
AMD 6600 XT | 8GB,5.706938775510204,8GB,279,1140273,1356924.8699999999,20.5,4.38
AMD 6700 XT | 12GB,5.758888888888889,12GB,349,1426363,1697371.97,16.5,4.34
NVIDIA 2070 | 8GB,6.4658139534883725,8GB,399,1630713,1940548.47,16.2,3.87
NVIDIA 2060 | 12GB,6.685,12GB,339,1385493,1648736.67,19.7,3.74
NVIDIA 2080 | 8GB,6.999032258064516,8GB,649,2652463,3156430.9699999997,10.8,3.57
AMD 6750 XT | 12GB,7.104285714285714,12GB,389,1589843,1891913.17,18.3,3.52
NVIDIA 3060 | 12GB,7.2851718750000005,12GB,379,1548973,1843277.8699999999,19.2,3.43
AMD 6800 | 16GB,7.324545454545455,16GB,479,1957673,2329630.87,15.299999999999999,3.41
AMD 6800 XT | 16GB,9.665060240963856,16GB,499,2039413,2426901.4699999997,19.400000000000002,2.59
NVIDIA 3060 Ti | 8GB,9.845515151515151,8GB,377,1540799,1833550.8099999998,26.1,2.54
AMD 6900 XT | 16GB,10.185263157894738,16GB,649,2652463,3156430.9699999997,15.7,2.45
NVIDIA 4060 Ti | 8GB,11.1,8GB,399,1630713,1940548.47,27.799999999999997,2.25
NVIDIA 2080 Ti | 11GB,11.428461538461539,11GB,1400,5721800,6808942.0,8.200000000000001,2.19
NVIDIA 3070 Ti | 8GB,11.792926829268293,8GB,590,2411330,2869482.6999999997,20.0,2.12
AMD 6950 XT | 16GB,11.943703703703704,16GB,629,2570723,3059160.3699999996,19.0,2.09
NVIDIA 3070 | 8GB,12.511734104046244,8GB,447,1826889,2173997.9099999997,28.0,2.0
NVIDIA 4070 | 12GB,14.139603960396041,12GB,609,2488983,2961889.77,23.2,1.77
NVIDIA 3080 | 10GB,15.176781609195402,10GB,458,1871846,2227496.7399999998,33.099999999999994,1.65
NVIDIA 3080 | 12GB,16.7890625,12GB,899,3674213,4372313.47,18.700000000000003,1.49
NVIDIA 4070 Ti | 12GB,16.992,12GB,810,3310470,3939459.3,21.0,1.47
NVIDIA 3080 Ti | 12GB,18.483416149068322,12GB,1199,4900313,5831372.47,15.4,1.35
NVIDIA 3090 | 24GB,19.33124735729387,24GB,1338,5468406,6507403.14,14.4,1.29
NVIDIA 4080 | 16GB,22.511877551020408,16GB,1200,4904400,5836236.0,18.8,1.11
NVIDIA 3090 Ti | 24GB,23.902931034482762,24GB,1898,7757126,9230979.94,12.6,1.05
NVIDIA 4090 | 24GB,35.07607711651299,24GB,1600,6539200,7781648.0,21.9,0.71
